Designator,Mid X,Mid Y,Rotation,Layer
C1,102.064,-36.38,180.0,top
C2,89.745,-71.178,90.0,top
C3,77.378,-69.176,180.0,top
C4,89.745,-75.776568,90.0,top
C5,88.7105,-65.276568,180.0,top
C6,91.904,-36.38,0.0,top
C7,77.978,-59.776,180.0,top
C8,80.528,-49.976,0.0,top
C9,36.328,-78.176568,270.0,top
D1,82.2405,-69.676568,180.0,top
D2,81.988306,-63.456568,90.0,top
D3,86.328,-39.426568,90.0,top
D4,79.828,-39.426568,90.0,top
D5,73.828,-18.676568,270.0,top
D6,73.828,-13.664068,270.0,top
D7,22.328,-57.176568,0.0,top
D8,34.8155,-37.276,0.0,top
D9,20.328,-70.926568,90.0,top
F1,29.828,-78.676568,180.0,top
J1,68.828,-82.176568,0.0,top
J2,17.828,-43.926568,270.0,top
R1,100.728,-79.176568,0.0,top
R10,34.828,-67.426568,270.0,top
R11,26.328,-57.176568,180.0,top
R12,29.578,-64.014068,90.0,top
R13,26.328,-64.014068,90.0,top
R14,23.328,-64.014068,90.0,top
R15,38.8155,-37.276,180.0,top
R16,58.8375,-74.5,180.0,top
R2,82.2405,-67.676568,180.0,top
R3,88.8355,-61.966568,0.0,top
R4,86.328,-35.514068,270.0,top
R5,79.828,-35.676568,270.0,top
R6,70.828,-18.589068,270.0,top
R7,70.7405,-13.664068,270.0,top
R8,34.828,-71.426568,270.0,top
R9,22.028,-69.089068,270.0,top
SW1,37.678,-9.751,270.0,top
TP1,78.696,-79.052,0.0,top
TP2,78.696,-75.976,0.0,top
TP3,24.428,-68.876,0.0,top
U1,100.128,-69.376568,270.0,top
U2,99.948,-65.216568,180.0,top
U3,73.788,-64.476,180.0,top
U4,58.61,-79.8025,0.0,top
U5,30.853,-67.376568,270.0,top
U6,42.5905,-4.401568,270.0,top
U7,10.028,-68.126568,0.0,top
U8,10.028,-55.876568,0.0,top
Y1,96.984,-40.444,0.0,top
