Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,0.1uF,
C3,CP_Elec_6.3x5.9,1,47uF,
"D1, D2",0603,2,BLUE,
"D3, D4",0603,2,RED,
"D5, D6",0603,2,GREEN,
F1,1206,1,Polyfuse,
J1,Hirose_DF11B-8DP-2DS,1,Conn_01x08,
J2,Hirose_DF1B,1,Conn_01x02_Pin,
J4,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card_Det_Hirose_DM3AT,
"R1, R3",0805,2,100R,
"R10, R11, R15",0603,3,300R,
"R12, R13, R14",0603,3,4.7kR,
"R2, R6, R8",0603,3,120R,
"R4, R5, R9",0805,3,10kR,
R7,0603,1,2kR,
SW1,SW_DIP_SPSTx02_Piano_10.8x6.64mm_W7.62mm_P2.54mm,1,SW_DIP_x02,
"TP1, TP2, TP3",Pin_D1.0mm_L10.0mm,3,TestPoint,
U1,DIP-8_W7.62mm,1,MCP2562-E-P,
U2,BME280,1,BME280,
U3,BNO055,1,BNO055,
U4,DIP-4_W7.62mm,1,TLP241B,
U5,MODULE_NUCLEO-F303K8,1,NUCLEO-F303K8,
"U6, U7",DIP-8_W7.62mm,2,MB85RS2MT,
