Designator,Mid X,Mid Y,Rotation,Layer
C1,74.558,-66.7105,90.0,top
C2,74.558,-71.1555,90.0,top
C3,60.0,-67.192,90.0,top
D1,96.5875,-66.050568,180.0,top
D2,96.4625,-69.300568,180.0,top
D3,63.5,-75.550568,0.0,top
D4,33.5,-72.963068,90.0,top
D5,29.5875,-56.550568,0.0,top
D6,31.4125,-36.050568,0.0,top
F1,56.5,-75.050568,180.0,top
J1,68.5,-83.050568,0.0,top
J2,33.664,-82.550568,0.0,top
J4,19.275,-41.375568,270.0,top
R1,92.2125,-66.050568,0.0,top
R10,33.5,-68.963068,270.0,top
R11,33.5875,-56.550568,180.0,top
R12,41.0,-63.050568,90.0,top
R13,37.0,-63.050568,90.0,top
R14,33.0,-63.138068,90.0,top
R15,35.4125,-36.050568,180.0,top
R2,88.0,-71.450568,90.0,top
R3,92.2125,-69.300568,0.0,top
R4,78.495,-57.550568,90.0,top
R5,75.0,-57.54,90.0,top
R6,53.5,-71.550568,270.0,top
R7,67.5875,-75.550568,180.0,top
R8,53.5,-68.050568,270.0,top
R9,56.5,-59.699,90.0,top
SW1,40.65,-8.075,270.0,top
TP1,82.686,-75.066,0.0,top
TP2,77.352,-75.066,0.0,top
TP3,41.2,-69.0,0.0,top
U1,84.8,-64.750568,270.0,top
U2,86.89,-40.550568,180.0,top
U3,87.76,-46.550568,270.0,top
U4,48.775,-63.750568,270.0,top
U5,55.0,-28.050568,0.0,top
U6,15.5,-66.430568,0.0,top
U7,15.5,-53.930568,0.0,top
