Designator,Mid X,Mid Y,Rotation,Layer
C1,101.702,-35.696,180.0,top
C2,88.36,-65.100768,180.0,top
C3,76.2,-66.3,180.0,top
C4,89.544,-75.600768,90.0,top
C5,89.544,-71.0285,90.0,top
C6,79.1,-48.5,0.0,top
C7,77.5,-56.8,180.0,top
C8,91.542,-35.696,0.0,top
D1,81.89,-69.500768,180.0,top
D2,81.9,-61.6,90.0,top
D3,79.4775,-39.250768,90.0,top
D4,85.9775,-39.250768,90.0,top
D5,73.4775,-18.500768,270.0,top
D6,73.4775,-13.488268,270.0,top
D7,35.0,-77.000568,90.0,top
J1,68.5,-81.690568,0.0,top
R1,100.4,-79.000568,0.0,top
R2,81.89,-67.500768,180.0,top
R3,88.485,-61.790768,0.0,top
R4,79.4775,-35.500768,270.0,top
R5,85.9775,-35.338268,270.0,top
R6,70.4775,-18.413268,270.0,top
R7,70.39,-13.488268,270.0,top
R8,35.0,-72.500568,270.0,top
SW1,37.25,-9.775,270.0,top
TP1,78.6,-79.13,0.0,top
TP2,78.622,-75.574,0.0,top
U1,99.7775,-69.200768,270.0,top
U2,99.5975,-65.040768,180.0,top
U3,73.66,-61.6,180.0,top
U4,42.2625,-4.225568,270.0,top
U5,9.5,-39.840568,0.0,top
Y1,96.622,-39.76,0.0,top
