Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C7",0603,2,15pF,
C2,0603,1,10uF,
"C3, C4, C5, C6",0603,4,0.1uF,
C8,CP_Elec_6.3x5.9,1,47uF,
D1,0603,1,RED,
"D2, D3, D5, D6",0603,4,BLUE,
D4,D_SOD-123F,1,1N4007,
J1,Hirose_DF11B-8DP-2DS,1,Conn_01x08,
R1,0603,1,120R,
R2,0603,1,620R,
R3,0805,1,10kR,
"R4, R5, R6, R7",0805,4,100R,
SW1,SW_DIP_SPSTx02_Piano_10.8x6.64mm_W7.62mm_P2.54mm,1,SW_DIP_x02,
"TP1, TP2",Pin_D1.0mm_L10.0mm,2,TestPoint,
U1,DIP-8_W7.62mm,1,MCP2562-E-P,
U2,DIP-18_W7.62mm,1,MCP2515-I/P,MCP2515-I/P
U3,TO-252-2,1,NJM7805SDL1,
U4,ARDUINO_ABX00012,1,ABX00012,
Y1,Crystal_SMD_HC49-SD,1,8MHz,
