Designator,Mid X,Mid Y,Rotation,Layer
C1,101.736,-35.696,180.0,top
C2,77.35,-66.95,180.0,top
C3,89.417,-75.600768,90.0,top
C4,89.417,-71.0285,90.0,top
C5,88.3373,-65.100768,180.0,top
C6,77.75,-57.2,180.0,top
C7,91.576,-35.696,0.0,top
C8,79.3,-48.600768,0.0,top
D1,81.8673,-69.500768,180.0,top
D2,79.4548,-39.250768,90.0,top
D3,85.9548,-39.250768,90.0,top
D4,81.7,-61.9,90.0,top
D5,73.4548,-18.500768,270.0,top
D6,73.4548,-13.488268,270.0,top
J1,68.5,-82.000568,0.0,top
R1,100.4,-79.000568,0.0,top
R2,81.8673,-67.500768,180.0,top
R3,88.4623,-61.790768,0.0,top
R4,85.9548,-35.338268,270.0,top
R5,79.4548,-35.315,270.0,top
R6,70.4548,-18.413268,270.0,top
R7,70.3673,-13.488268,270.0,top
SW1,37.45,-9.875,270.0,top
TP1,78.4,-78.876,0.0,top
TP2,78.4,-75.828,0.0,top
U1,99.7548,-69.200768,270.0,top
U2,99.5748,-65.040768,180.0,top
U3,73.76,-61.9,180.0,top
U4,42.2625,-4.225568,270.0,top
Y1,96.656,-39.76,0.0,top
