Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C6",0603,2,15pF,
"C2, C4, C5, C7",0603,4,0.1uF,
C3,0603,1,10uF,
"C8, C9",CP_Elec_6.3x5.9,2,47uF,
"D1, D9",0603,2,RED,
D2,D_SOD-123F,1,1N4007,
"D3, D4, D5, D6",0603,4,BLUE,
"D7, D8",0603,2,GREEN,
F1,1206,1,Polyfuse,
J1,Hirose_DF11B-8DP-2DS,1,Conn_01x08,
J2,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card_Det_Hirose_DM3AT,
"R1, R10, R8",0603,3,120R,
"R11, R15, R9",0603,3,300R,
"R12, R13, R14, R16",0603,4,4.7kR,
R2,0603,1,620R,
R3,0805,1,10kR,
"R4, R5, R6, R7",0805,4,100R,
SW1,SW_DIP_SPSTx02_Piano_10.8x6.64mm_W7.62mm_P2.54mm,1,SW_DIP_x02,
"TP1, TP2, TP3",Pin_D1.0mm_L10.0mm,3,TestPoint,
U1,DIP-8_W7.62mm,1,MCP2562-E-P,
U2,DIP-18_W7.62mm,1,MCP2515-I/P,MCP2515-I/P
U3,TO-252-2,1,NJM7805SDL1,
U4,ADXL375,1,ADXL375,
U5,DIP-4_W7.62mm,1,TLP241B,
U6,ARDUINO_ABX00012,1,ABX00012,
"U7, U8",DIP-8_W7.62mm,2,MB85RS2MT,
Y1,Crystal_SMD_HC49-SD,1,8MHz,
