Designator,Mid X,Mid Y,Rotation,Layer
A1,7.849172,10.64,180.0,top
C1,4.049172,-24.0,180.0,top
C10,-19.050828,3.8,180.0,bottom
C11,-19.750828,14.8,180.0,top
C12,-24.250828,14.8,180.0,top
C13,-32.650828,21.9,90.0,top
C14,-37.650828,18.1,270.0,top
C15,-32.650828,18.2,90.0,top
C2,-9.970828,-24.0,180.0,top
C3,28.549172,-6.5,270.0,bottom
C4,3.849172,29.8,0.0,bottom
C5,41.749172,16.7,0.0,top
C6,34.949172,16.7,180.0,top
C7,12.149172,27.1,180.0,top
C8,30.449172,-21.3,180.0,top
C9,-3.450828,30.1,0.0,bottom
D1,-25.350828,4.9,0.0,top
D2,-25.450828,8.0,0.0,top
D3,-25.350828,1.7,0.0,top
D4,16.949172,-20.2,270.0,bottom
D5,21.049172,-22.4,270.0,top
D6,-12.950828,29.45,180.0,top
D7,-12.950828,25.2,180.0,top
D8,-12.950828,33.7,180.0,top
IC1,0.369172,-17.3,270.0,top
IC2,-13.650828,-17.3,270.0,top
J1,0.049172,-30.0,0.0,top
J2,-14.050828,-30.0,0.0,top
J3,-43.530828,-9.52,285.0,top
J4,13.499172,-27.0,0.0,top
J5,-38.430828,-22.22,300.0,top
J6,-44.050828,7.6,90.0,top
LS1,19.349172,-7.5,90.0,top
R1,-13.550828,15.3,180.0,top
R10,12.049172,30.1,180.0,top
R11,12.049172,33.2,180.0,top
R12,-3.450828,33.2,0.0,bottom
R13,-3.450828,36.6,0.0,bottom
R14,38.049172,-23.2,180.0,top
R15,-19.050828,6.9,0.0,bottom
R16,-19.050828,10.0,0.0,bottom
R17,-18.050828,33.0,0.0,top
R18,-37.650828,21.9,270.0,top
R19,-18.050828,26.0,0.0,top
R2,-13.550828,18.3,180.0,top
R20,-18.050828,29.5,0.0,top
R21,-30.450828,19.3,270.0,top
R3,-3.350828,-24.0,180.0,top
R4,-13.550828,12.4,180.0,top
R5,-17.350828,-24.0,180.0,top
R6,3.849172,32.9,0.0,bottom
R7,3.749172,36.0,0.0,bottom
R8,31.749172,-6.5,90.0,bottom
R9,11.949172,-22.6,90.0,bottom
U1,34.339172,12.66,180.0,top
U2,41.849172,-13.6,270.0,top
U3,-22.013328,18.7,0.0,top
Y1,40.799172,21.6,180.0,top
